FileName,min1,max1,avg1,stdev1,p10_1,p90_1,min2,max2,avg2,stdev2,p10_2,p90_2,min3,max3,avg3,stdev3,p10_3,p90_3,min4,max4,avg4,stdev4,p10_4,p90_4,min5,max5,avg5,stdev5,p10_5,p90_5,min6,max6,avg6,stdev6,p10_6,p90_6,min7,max7,avg7,stdev7,p10_7,p90_7,area_3,area_7,nbUp1,nbDown1,nbIdle1,tUp1,tDown1,tIdle1,Total1,nbUp2,nbDown2,nbIdle2,tUp2,tDown2,tIdle2,Total2,nbUp3,nbDown3,nbIdle3,tUp3,tDown3,tIdle3,Total3,nbUp6,nbDown6,nbIdle6,tUp6,tDown6,tIdle6,Total6,nbUp7,nbDown7,nbIdle7,tUp7,tDown7,tIdle7,Total7,RangeA
u00227,9,626,448.8992081,119.8413453,273,560,0,800,520.2451436,153.7860173,327,710,0,978,568.4014599,165.5952629,314,741,40,733,602.4765957,109.781361,515,718,4,884,802.5525362,101.6228435,724,874,0,912,625.7539245,139.7622905,485,775,7,1023,596.7313916,147.0341757,417,756,29318177,30998519,9,10,10,8830,10457,624,19911,23,24,15,17872,27508,17723,63103,64,65,6,16266,17543,5578,39387,44,43,30,41594,53211,16105,110936,37,34,18,10223,18578,8585,37386,Mild
u00239,8,688,497.8315301,145.1763454,277,637,0,657,390.9225182,144.086226,175,558,8,753,484.470934,123.7282957,332,624,33,580,497.914956,86.36193561,442,549,39,745,573.2857143,114.8615738,481,710,3,935,624.4652632,165.6499297,429,820,0,886,462.6048925,144.8352087,254,622,9670230,14076435,11,12,16,5268,4875,7827,17970,30,31,13,13801,9348,4519,27668,55,56,9,8970,11537,2249,22756,20,21,13,7920,7166,3282,18368,47,48,14,8645,10156,3928,22729,Mild
u00005,13,529,324.204797,116.6011711,147,455,4,566,294.0268987,127.3396198,116,459,2,732,423.5440075,147.5688667,186,588,68,537,416.899705,102.7302809,247,513,116,850,718.562249,90.19771146,618,805,18,731,446.8096,181.1483755,206,664,0,767,465.787783,145.1284513,249,625,10919923,17759801,10,9,19,12238,12226,2161,26651,29,29,16,19466,19029,3973,42481,57,58,3,15451,16083,4726,36260,18,19,7,9669,9413,2928,22010,36,37,6,9184,14306,1150,24640,Moderate
u00015,1,844,586.5528402,159.8173037,372,779,3,861,598.8408367,198.3062588,341,819,11,639,377.1466594,131.425699,180,529,12,582,497.0050505,95.719712,423,557,27,667,568.5170068,92.94648567,466,640,5,962,392.1265345,284.9596314,112,905,4,571,250.0,89.56106532,128,357,9870207,26692389,5,4,3,7720,11371,717,19808,15,16,4,8808,16551,915,26274,57,58,6,10487,13868,684,25039,23,24,4,12580,7980,11397,31957,36,37,8,10335,16050,2722,29107,Moderate
u00021,21,961,602.6899841,183.4367245,378,860,2,903,561.0924195,184.250856,280,768,20,1018,694.3018135,198.0492511,404,900,24,632,528.1153153,68.36995079,475,581,100,1023,888.7444832,89.12212542,808,987,28,1023,801.5729823,186.9376798,571,984,11,1023,727.771097,188.7625229,465,904,32540914,13287146,9,10,7,6156,9468,1901,17525,22,23,22,13913,14513,4050,32476,57,58,10,14651,17437,2884,34972,23,24,16,10633,13149,2526,26308,56,57,5,9412,14278,1093,24783,Moderate
u00049,0,657,405.8103397,142.8638404,208,585,0,768,366.8423496,167.0002943,122,553,0,776,483.9193789,138.9738252,303,631,8,454,340.9734927,57.38596573,258,403,116,859,754.8617585,76.39150034,663,820,2,949,541.9704985,177.3057512,295,753,9,649,334.1924184,126.4865858,156,495,10525956,13488656,24,24,23,9930,25460,4899,40302,53,52,37,20546,37268,9126,66966,57,58,9,19339,25222,3458,48019,25,26,24,9534,14807,4840,29181,53,54,4,10650,15693,1518,27861,Moderate
u00052,42,924,702.9628571,103.6520429,636,778,16,876,664.9578415,173.8857905,403,826,11,881,479.834323,139.0830014,281,622,43,842,697.0547866,101.6975018,633,793,56,1023,975.1003764,80.41052054,945,1023,7,1023,680.2291542,254.5680385,338,1013,5,913,441.2565638,113.0164991,291,559,13251236,17805658,1,2,1,1323,7896,586,9805,15,14,15,7511,17827,1171,26522,54,55,10,5942,12675,1036,19653,20,21,11,10434,12547,1110,24091,37,38,7,4833,16339,1259,22431,Moderate
u00074,1,665,333.0882353,144.3419066,138,520,0,710,359.8098007,135.496763,161,518,8,727,337.2157926,130.503855,156,505,7,599,502.1524064,66.90826971,458,551,106,746,587.5190549,144.4130378,284,707,0,884,491.9496911,194.3240212,240,758,0,696,292.2334004,118.5777427,136,428,36487390,26579281,10,11,13,5561,4880,1336,11777,19,20,25,10089,9068,4196,23353,54,55,22,11454,12514,5216,29184,20,21,19,9440,8545,7022,25007,36,37,21,6325,11231,4335,21891,Moderate
u00086,22,667,552.1848617,117.3804803,431,645,0,622,368.8586185,140.131131,166,546,8,927,568.7026002,162.7244695,342,737,0,185,102.1014604,37.27604518,49,147,61,711,617.4434907,63.1960343,568,674,6,771,483.4118323,180.3024562,256,722,23,815,531.5684047,141.592272,338,686,29940015,20024363,1,2,3,999,5167,419,6585,16,17,9,6558,11659,10075,28292,55,56,7,8351,13897,1394,23642,24,23,15,10123,13086,4917,28139,40,41,18,6620,14582,3742,24944,Moderate
u00088,4,964,686.087256,187.8261181,427,849,0,866,613.5659357,181.0581426,368,802,19,821,499.4184397,155.7451952,276,672,25,462,375.9427313,64.73832066,271,439,42,918,770.411726,79.32756149,694,847,11,809,623.5057088,162.273559,394,778,12,815,534.6103352,138.4557672,334,664,7434074,11351064,11,9,26,10356,13084,4546,28012,31,32,27,15710,25057,5005,45772,62,57,12,10877,14812,2569,28258,20,21,24,9884,15814,7471,33169,40,31,23,6615,16085,3467,26167,Moderate
u00096,0,369,133.9617225,89.79226041,35,267,4,501,211.1824069,111.2537143,63,358,0,485,205.6074189,97.96897482,65,328,0,264,122.1553398,56.45934698,37,190,22,641,405.319978,130.3304179,254,591,0,490,256.6776365,119.5798785,70,395,6,894,254.0357143,117.4216141,107,380,19397719,20024435,9,10,4,8198,6304,504,15006,28,29,31,15941,13967,4296,34204,68,68,13,16396,14619,6314,37342,23,24,22,9994,10075,3281,23350,42,43,7,7714,13704,2285,23703,Moderate
u00104,0,1023,550.4479559,198.6671544,262,756,0,840,516.6215993,155.2189558,298,695,14,870,569.1653283,176.8724083,313,766,3,467,334.2775442,76.06932649,279,398,0,929,764.4213198,139.3082874,653,865,2,995,529.6221071,147.7091955,345,680,11,851,508.7317949,137.8204503,336,655,17416543,28395412,25,23,53,35693,29978,13033,78717,35,31,71,37155,45602,13215,96011,56,56,24,15251,15937,5938,37139,25,26,20,16836,21790,7742,46368,36,37,13,6876,14672,3147,24695,Moderate
u00108,8,811,489.1450677,157.2805813,266,664,0,745,375.4335956,166.3890921,153,632,0,878,390.4719139,172.491265,152,609,0,584,354.5009728,131.9022867,146,497,112,898,792.4754335,83.26812812,749,855,1,865,431.3038438,216.9905141,152,769,3,704,292.5178361,124.414946,130,441,30536895,29621869,5,6,5,5446,7779,542,13767,15,15,14,12045,16253,1187,29498,56,57,20,23814,22396,2857,49067,28,28,26,16059,12342,5507,33921,46,42,23,19383,19164,2180,40753,Moderate
u00109,9,760,427.5406852,162.9606438,176,641,0,759,445.3436314,161.4001813,211,625,1,667,355.8963283,140.9686297,140,523,68,693,562.4832176,57.36117409,496,628,43,947,854.6883988,65.63025122,803,910,5,884,529.4494382,191.9928163,302,808,7,636,345.1889269,117.3404027,176,483,26557694,19981414,11,12,13,7039,7047,2779,16865,24,25,28,10527,13898,5467,29892,63,64,15,13096,13954,4152,31202,30,30,43,16003,18763,15203,49969,48,49,22,8846,13204,3466,25516,Moderate
u00157,7,816,499.185118,162.0181706,296,704,3,841,487.2202845,175.8203079,254,729,1,1023,471.2675375,151.8677665,283,636,7,751,542.8806818,100.1125875,465,644,113,1013,900.9616935,78.26468419,833,968,1,974,597.1368681,216.2989021,339,878,0,1023,581.0769531,176.6957741,374,801,9618174,14933967,10,10,3,7064,8284,207,15568,24,25,12,10988,16403,938,28329,64,65,4,9857,15567,460,25884,27,27,7,9509,12211,452,22185,54,55,5,11245,19276,13373,43894,Moderate
u00160,16,985,573.6359833,201.696899,291,804,4,953,554.4513692,191.2001606,298,770,2,944,577.6668699,183.0773401,309,779,4,923,647.5479332,264.0268833,198,855,259,789,702.8829686,46.49617091,648,756,0,938,586.8949772,229.1343315,238,869,0,835,496.8981384,145.7727518,294,657,10030875,19929202,9,9,9,8531,7188,698,16430,22,22,13,12064,15932,5972,33981,59,60,5,25139,24707,2932,52778,23,24,7,12394,9906,5277,27577,39,36,12,13322,21404,3082,37808,Moderate
u00176,0,866,592.566429,180.9990737,381,831,0,1023,513.5253082,188.2574154,221,700,0,1023,648.4092715,181.0114475,412,847,13,734,607.4096386,111.9627938,505,711,36,902,820.9713564,101.201288,738,888,0,799,538.659118,187.642794,269,731,0,781,452.1297976,136.1974054,283,615,10928423,15529675,15,16,12,6886,11615,1112,19613,47,47,7,15066,23199,1295,39573,68,69,9,18911,22744,4318,45973,27,28,14,10979,12639,4442,28060,55,56,7,16886,21575,3753,42214,Moderate
u00193,0,683,347.6134615,189.7228031,74,572,0,733,443.7919041,175.192656,130,639,0,713,409.0084848,153.0452979,165,583,0,537,391.5015175,131.3806467,163,518,61,721,656.1132898,74.25779771,603,697,9,908,571.5763006,178.5330631,346,782,0,603,383.9587588,134.7850456,181,536,11981070,13742218,109,109,7,8213,19548,11245,39019,71,71,8,19783,38297,6692,64772,75,76,2,26782,24858,228,51868,20,21,5,16744,13028,239,30011,55,56,8,16539,19177,2244,37960,Moderate
u00199,2,834,534.9416569,176.2001075,263,716,1,817,466.1527869,155.5896949,244,622,1,867,543.3348818,160.7025811,316,724,44,504,393.3966667,81.09430896,281,449,43,804,702.1276596,117.9338375,601,784,19,920,617.7988737,165.2422555,392,781,0,917,540.1201717,139.6850324,358,701,45277030,52926383,10,11,6,5165,6454,1054,12673,20,20,14,7155,11470,3980,22605,62,63,8,13917,17844,3023,34784,23,24,11,7908,9373,3302,20583,45,46,11,7902,17545,1820,27267,Moderate
u00211,9,730,477.6070727,164.5774687,236,672,1,777,474.2792389,150.8950223,276,648,5,776,397.9115216,136.3967268,198,554,40,587,418.0911602,115.0351264,274,547,57,830,682.5876993,118.4117533,582,810,5,805,512.7717647,171.1742148,279,746,0,809,431.934547,148.3777777,231,609,24770352,20616403,10,11,1,8579,7675,46,16300,18,19,14,12552,13457,719,26728,61,62,10,14289,15494,1240,31023,24,25,12,13468,12809,2308,28585,51,52,9,13901,17373,1501,32775,Moderate
u00016,48,1023,969.4451689,110.1845661,908,1023,10,1023,732.7873333,225.8865859,438,975,8,912,500.0054387,167.3971633,248,688,58,833,754.2157598,106.1956468,717,818,112,946,846.5636856,106.7387194,785,911,3,902,560.6079652,233.0867788,256,864,6,1023,406.2663274,140.8642256,236,559,9521386,11209657,1,2,2,1285,12684,678,14647,14,15,8,9396,22569,2046,34011,58,59,3,15227,20762,916,36905,21,22,0,7538,12100,0,19638,30,31,7,11217,17754,4386,33357,Severe
