Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
393;27188;"Language Learning and Technology";journal;"10943501";"";Yes;Yes;1,070;Q1;96;55;87;3049;346;85;4,66;55,44;50,00;0;12;United States;Northern America;"";"1997-2025";"Computer Science Applications (Q1); Education (Q1); Linguistics and Language (Q1)";"Computer Science; Social Sciences"
394;25456;"Proceedings - IEEE International Conference on Robotics and Automation";conference and proceedings;"10504729";"Institute of Electrical and Electronics Engineers Inc.";No;No;1,070;-;236;1762;3660;62084;17071;3654;4,55;35,23;20,66;0;196;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1984-1985, 1988-1989, 1991-2024";"Artificial Intelligence; Control and Systems Engineering; Electrical and Electronic Engineering; Software";"Computer Science; Engineering"
395;17300154988;"BioData Mining";journal;"17560381";"BioMed Central Ltd";Yes;No;1,068;Q1;42;60;115;3624;819;110;7,54;60,40;42,59;0;26;United Kingdom;Western Europe;"BioMed Central Ltd";"2009-2025";"Computational Mathematics (Q1); Computational Theory and Mathematics (Q1); Computer Science Applications (Q1); Biochemistry (Q2); Genetics (Q2); Molecular Biology (Q2)";"Biochemistry, Genetics and Molecular Biology; Computer Science; Mathematics"
396;21100894112;"Journal of Digital Learning in Teacher Education";journal;"21532974, 23327383";"Taylor and Francis Ltd.";No;No;1,068;Q1;34;17;54;764;200;40;4,25;44,94;58,82;0;1;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2010-2025";"Computer Science Applications (Q1); Education (Q1)";"Computer Science; Social Sciences"
397;21101132928;"Intelligent and Converged Networks";journal;"27086240";"Tsinghua University Press";Yes;Yes;1,065;Q1;21;26;80;1046;366;77;4,15;40,23;25,00;0;6;United States;Northern America;"Tsinghua University Press";"2020-2024";"Computer Networks and Communications (Q1)";"Computer Science"
398;144889;"Journal of Intelligent Transportation Systems: Technology, Planning, and Operations";journal;"15472450, 15472442";"Taylor and Francis Ltd.";No;No;1,065;Q1;64;106;147;4453;779;146;5,10;42,01;27,72;0;59;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2004-2025";"Aerospace Engineering (Q1); Applied Mathematics (Q1); Automotive Engineering (Q1); Computer Science Applications (Q1); Control and Systems Engineering (Q1); Information Systems (Q1); Software (Q1)";"Computer Science; Engineering; Mathematics"
399;21101059781;"Digital Biomarkers";journal;"2504110X";"S. Karger AG";Yes;No;1,061;Q1;29;24;53;1057;285;53;3,38;44,04;45,12;0;3;Switzerland;Western Europe;"S. Karger AG";"2017-2025";"Computer Science Applications (Q1); Health Informatics (Q1); Medicine (miscellaneous) (Q1)";"Computer Science; Medicine"
400;21100368801;"IEEE/ACM Transactions on Audio Speech and Language Processing";journal;"23299304, 23299290";"IEEE Advancing Technology for Humanity";No;No;1,061;Q1;92;428;850;25703;6788;849;6,43;60,05;23,70;0;19;United States;Northern America;"IEEE Advancing Technology for Humanity";"2014-2024";"Acoustics and Ultrasonics (Q1); Computational Mathematics (Q1); Computer Science (miscellaneous) (Q1); Electrical and Electronic Engineering (Q1); Instrumentation (Q1); Media Technology (Q1); Signal Processing (Q1); Speech and Hearing (Q1)";"Computer Science; Engineering; Health Professions; Mathematics; Physics and Astronomy"
401;21101224376;"IEEE Internet of Things Magazine";journal;"25763199, 25763180";"Institute of Electrical and Electronics Engineers Inc.";No;No;1,060;Q1;29;111;287;1463;1291;273;4,57;13,18;25,51;0;36;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2020-2024";"Computer Networks and Communications (Q1); Computer Science Applications (Q1); Hardware and Architecture (Q1); Information Systems (Q1); Software (Q1)";"Computer Science"
402;25535;"IEEE Transactions on Visualization and Computer Graphics";journal;"10772626";"IEEE Computer Society";No;No;1,059;Q1;175;929;1264;51676;8643;1238;6,55;55,63;29,92;0;55;United States;Northern America;"IEEE Computer Society";"1995-2025";"Computer Graphics and Computer-Aided Design (Q1); Computer Vision and Pattern Recognition (Q1); Signal Processing (Q1); Software (Q1)";"Computer Science"
403;21101054787;"Quantum Machine Intelligence";journal;"25244914, 25244906";"Springer Science and Business Media Deutschland GmbH";No;No;1,059;Q1;23;88;103;4255;628;103;5,12;48,35;18,95;0;6;Germany;Western Europe;"Springer Science and Business Media Deutschland GmbH";"2019-2025";"Applied Mathematics (Q1); Computational Theory and Mathematics (Q1); Software (Q1); Theoretical Computer Science (Q1); Artificial Intelligence (Q2)";"Computer Science; Mathematics"
404;26324;"Random Structures and Algorithms";journal;"10429832, 10982418";"John Wiley and Sons Ltd";No;No;1,055;Q1;73;63;180;1874;215;179;1,03;29,75;15,72;0;0;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1990-2025";"Applied Mathematics (Q1); Computer Graphics and Computer-Aided Design (Q1); Mathematics (miscellaneous) (Q1); Software (Q1)";"Computer Science; Mathematics"
405;18159;"Computers and Electrical Engineering";journal;"00457906";"Elsevier Ltd";No;No;1,053;Q1;106;735;1638;33795;11465;1595;7,17;45,98;26,90;0;231;United Kingdom;Western Europe;"Elsevier Ltd";"1973-1984, 1986-2025";"Computer Science (miscellaneous) (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1)";"Computer Science; Engineering"
406;19268;"International Journal of High Performance Computing Applications";journal;"10943420, 17412846";"SAGE Publications Inc.";No;No;1,051;Q1;69;45;115;1822;424;106;2,92;40,49;14,47;0;3;United States;Northern America;"SAGE Publications Inc.";"1987-2025";"Hardware and Architecture (Q1); Software (Q1); Theoretical Computer Science (Q1)";"Computer Science; Mathematics"
407;19700182731;"Egyptian Informatics Journal";journal;"11108665, 20904754";"Elsevier B.V.";Yes;No;1,050;Q1;53;117;167;5751;1399;167;7,89;49,15;29,73;0;26;Netherlands;Western Europe;"Elsevier B.V.";"2010-2025";"Computer Science Applications (Q1); Information Systems (Q1); Management Science and Operations Research (Q1)";"Computer Science; Decision Sciences"
408;21100824892;"Law, Innovation and Technology";journal;"1757997X, 17579961";"Taylor and Francis Ltd.";No;No;1,049;Q1;27;25;61;613;282;60;3,07;24,52;34,78;3;11;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2009-2024";"Biotechnology (Q1); Computer Science Applications (Q1); Computer Science (miscellaneous) (Q1); Law (Q1); Artificial Intelligence (Q2)";"Biochemistry, Genetics and Molecular Biology; Computer Science; Social Sciences"
409;21101068040;"IEEE Transactions on Quantum Engineering";journal;"26891808";"Institute of Electrical and Electronics Engineers Inc.";Yes;No;1,045;Q1;28;72;165;3630;1063;164;5,20;50,42;19,71;0;3;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2020-2025";"Computer Science Applications (Q1); Computer Science (miscellaneous) (Q1); Condensed Matter Physics (Q1); Electrical and Electronic Engineering (Q1); Engineering (miscellaneous) (Q1); Mechanical Engineering (Q1); Software (Q1)";"Computer Science; Engineering; Physics and Astronomy"
410;18732;"Information and Software Technology";journal;"09505849";"Elsevier B.V.";No;No;1,045;Q1;130;146;503;9089;3160;485;5,95;62,25;29,94;0;11;Netherlands;Western Europe;"Elsevier B.V.";"1970, 1987-2025";"Computer Science Applications (Q1); Information Systems (Q1); Software (Q1)";"Computer Science"
411;4800154012;"Journal of Communications and Networks";journal;"12292370, 19765541";"Korean Institute of Communications Information Sciences";No;No;1,043;Q1;60;26;158;1023;717;156;4,81;39,35;27,63;0;3;South Korea;Asiatic Region;"Korean Institute of Communications Information Sciences";"1999-2024";"Computer Networks and Communications (Q1); Information Systems (Q1)";"Computer Science"
412;21100241736;"Transportmetrica B";journal;"21680582, 21680566";"Taylor and Francis Ltd.";No;No;1,043;Q1;36;63;163;3244;640;162;3,74;51,49;30,09;0;43;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2013-2025";"Modeling and Simulation (Q1); Software (Q1); Transportation (Q2)";"Computer Science; Mathematics; Social Sciences"
413;27856;"BIT Numerical Mathematics";journal;"15729125, 00063835";"Springer Netherlands";No;No;1,042;Q1;67;42;181;1468;332;181;1,74;34,95;21,43;0;0;Netherlands;Western Europe;"Springer Netherlands";"1961-2025";"Applied Mathematics (Q1); Computational Mathematics (Q1); Computer Networks and Communications (Q1); Software (Q1)";"Computer Science; Mathematics"
414;23602;"BMC Medical Informatics and Decision Making";journal;"14726947";"BioMed Central Ltd";Yes;No;1,041;Q1;107;406;1018;18354;5213;1016;4,66;45,21;42,17;0;165;United Kingdom;Western Europe;"BioMed Central Ltd";"2001-2025";"Computer Science Applications (Q1); Health Policy (Q1); Health Informatics (Q2)";"Computer Science; Medicine"
415;24596;"Cluster Computing";journal;"13867857";"Kluwer Academic Publishers";No;No;1,040;Q1;80;698;680;34578;4935;680;7,31;49,54;29,35;0;153;Netherlands;Western Europe;"Kluwer Academic Publishers";"1998, 2005-2025";"Computer Networks and Communications (Q1); Software (Q1)";"Computer Science"
416;110327;"Computers and Geosciences";journal;"00983004";"Elsevier Ltd";No;No;1,040;Q1;161;169;498;8544;2657;495;5,08;50,56;24,44;0;25;United Kingdom;Western Europe;"Elsevier Ltd";"1975-2025";"Computers in Earth Sciences (Q1); Information Systems (Q1)";"Computer Science; Earth and Planetary Sciences"
417;12166;"Mathematics and Computers in Simulation";journal;"03784754";"Elsevier B.V.";No;No;1,040;Q1;96;403;1094;15661;5682;1087;5,94;38,86;31,13;0;83;Netherlands;Western Europe;"Elsevier B.V.";"1958-2025";"Applied Mathematics (Q1); Computer Science (miscellaneous) (Q1); Modeling and Simulation (Q1); Numerical Analysis (Q1); Theoretical Computer Science (Q1)";"Computer Science; Mathematics"
418;21101019738;"Human Behavior and Emerging Technologies";journal;"25781863";"John Wiley and Sons Inc";Yes;No;1,036;Q1;40;70;235;5559;1415;234;4,09;79,41;48,16;1;16;United States;Northern America;"John Wiley and Sons Inc";"2019-2024";"Human-Computer Interaction (Q1); Social Sciences (miscellaneous) (Q1); Social Psychology (Q2)";"Computer Science; Psychology; Social Sciences"
419;12370;"Journal of Computer and System Sciences";journal;"10902724, 00220000";"Academic Press Inc.";No;No;1,033;Q1;106;43;183;1646;291;179;1,30;38,28;22,06;0;2;United States;Northern America;"Academic Press Inc.";"1967-2025";"Applied Mathematics (Q1); Computational Theory and Mathematics (Q1); Computer Networks and Communications (Q1); Theoretical Computer Science (Q1)";"Computer Science; Mathematics"
420;25019;"Human-Computer Interaction";journal;"15327051, 07370024";"Taylor and Francis Ltd.";No;No;1,027;Q1;82;37;65;3583;403;55;5,38;96,84;38,24;0;4;United States;Northern America;"Taylor and Francis Ltd.";"1985-1987, 1989-2025";"Human-Computer Interaction (Q1); Applied Psychology (Q2)";"Computer Science; Psychology"
421;15386;"Online Information Review";journal;"14684527, 14684535";"Emerald Group Publishing Ltd.";No;No;1,025;Q1;78;101;216;6857;1229;214;5,42;67,89;42,21;0;23;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1980-1995, 1997, 1999-2025";"Computer Science Applications (Q1); Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
422;21101057896;"Sensors and Actuators Reports";journal;"26660539";"Elsevier B.V.";Yes;No;1,025;Q1;31;73;152;4304;1155;149;7,75;58,96;36,22;0;28;Netherlands;Western Europe;"Elsevier B.V.";"2019-2025";"Atomic and Molecular Physics, and Optics (Q1); Computer Science (miscellaneous) (Q1); Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Instrumentation (Q1)";"Computer Science; Engineering; Materials Science; Physics and Astronomy"
423;21101157925;"Communications in Analysis and Mechanics";journal;"28363310";"American Institute of Mathematical Sciences";Yes;Yes;1,019;Q1;8;40;41;1371;118;41;2,88;34,28;38,82;0;0;United States;Northern America;"American Institute of Mathematical Sciences";"2023-2024";"Applied Mathematics (Q1); Computer Networks and Communications (Q1); Control and Optimization (Q1); Geometry and Topology (Q1); Mechanics of Materials (Q1)";"Computer Science; Engineering; Mathematics"
424;13579;"Data Mining and Knowledge Discovery";journal;"13845810, 1573756X";"Springer Netherlands";No;No;1,019;Q1;123;129;220;6515;1162;218;4,86;50,50;23,32;1;9;Netherlands;Western Europe;"Springer Netherlands";"1997-2025";"Computer Networks and Communications (Q1); Computer Science Applications (Q1); Information Systems (Q1)";"Computer Science"
425;21100228541;"International Journal of Child-Computer Interaction";journal;"22128689";"Elsevier B.V.";No;No;1,019;Q2;43;52;179;3026;980;171;5,12;58,19;65,06;1;28;Netherlands;Western Europe;"Elsevier B.V.";"2013-2025";"Education (Q1); Human-Computer Interaction (Q2)";"Computer Science; Social Sciences"
426;19700201455;"Sustainable Computing: Informatics and Systems";journal;"22105379";"Elsevier Inc.";No;No;1,018;Q1;55;93;340;4309;2366;337;7,71;46,33;21,98;0;60;United States;Northern America;"Elsevier Inc.";"2011-2025";"Computer Science (miscellaneous) (Q1); Electrical and Electronic Engineering (Q1)";"Computer Science; Engineering"
427;21101080486;"Array";journal;"25900056";"Elsevier B.V.";Yes;No;1,016;Q1;23;43;167;2828;1276;166;7,71;65,77;25,43;0;6;Netherlands;Western Europe;"Elsevier B.V.";"2019, 2021-2025";"Computer Science (miscellaneous) (Q1)";"Computer Science"
428;17300154971;"International Journal of Critical Infrastructure Protection";journal;"18745482";"Elsevier B.V.";No;No;1,016;Q1;52;50;116;2747;778;109;6,54;54,94;27,75;0;33;Netherlands;Western Europe;"Elsevier B.V.";"2008-2025";"Computer Science Applications (Q1); Information Systems and Management (Q1); Modeling and Simulation (Q1); Safety, Risk, Reliability and Quality (Q1)";"Computer Science; Decision Sciences; Engineering; Mathematics"
429;21100836194;"ICT Express";journal;"24059595";"Korean Institute of Communications and Information Sciences";Yes;No;1,009;Q1;54;148;349;5810;2387;349;6,28;39,26;25,66;0;27;South Korea;Asiatic Region;"Korean Institute of Communications and Information Sciences";"2015-2025";"Computer Networks and Communications (Q1); Hardware and Architecture (Q1); Information Systems (Q1); Software (Q1); Artificial Intelligence (Q2)";"Computer Science"
430;18189;"Finite Elements in Analysis and Design";journal;"0168874X";"Elsevier B.V.";No;No;1,008;Q1;94;116;208;5615;848;208;3,84;48,41;15,76;0;9;Netherlands;Western Europe;"Elsevier B.V.";"1985-2025";"Analysis (Q1); Applied Mathematics (Q1); Computer Graphics and Computer-Aided Design (Q1); Engineering (miscellaneous) (Q1)";"Computer Science; Engineering; Mathematics"
431;24825;"Pattern Recognition Letters";journal;"01678655";"Elsevier B.V.";No;No;1,005;Q1;188;297;934;9974;4922;907;4,54;33,58;29,76;0;12;Netherlands;Western Europe;"Elsevier B.V.";"1982-2025";"Computer Vision and Pattern Recognition (Q1); Signal Processing (Q1); Software (Q1); Artificial Intelligence (Q2)";"Computer Science"
432;19700201443;"Engineering Applications of Computational Fluid Mechanics";journal;"1997003X, 19942060";"Taylor and Francis Ltd.";Yes;No;1,004;Q1;63;122;335;6093;2059;335;6,35;49,94;23,63;0;43;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2009, 2011-2025";"Computer Science (miscellaneous) (Q1); Modeling and Simulation (Q1)";"Computer Science; Mathematics"
433;21101037157;"Visual Computing for Industry, Biomedicine, and Art";journal;"25244442, 2096496X";"Springer Science and Business Media Deutschland GmbH";Yes;Yes;1,004;Q1;24;28;82;1343;536;80;6,93;47,96;32,45;0;7;Germany;Western Europe;"Springer Science and Business Media Deutschland GmbH";"2018-2025";"Computer Graphics and Computer-Aided Design (Q1); Computer Science (miscellaneous) (Q1); Computer Vision and Pattern Recognition (Q1); Medicine (miscellaneous) (Q1); Software (Q1); Visual Arts and Performing Arts (Q1)";"Arts and Humanities; Computer Science; Medicine"
434;15773;"ACM Transactions on Internet Technology";journal;"15576051, 15335399";"Association for Computing Machinery (ACM)";No;No;1,000;Q1;71;30;278;1590;1574;266;5,10;53,00;22,22;0;7;United States;Northern America;"Association for Computing Machinery (ACM)";"2001-2024";"Computer Networks and Communications (Q1)";"Computer Science"
435;21100932472;"Journal of Learning Analytics";journal;"19297750";"UTS ePRESS";Yes;No;0,997;Q1;26;43;92;2451;466;88;3,81;57,00;41,01;0;13;Australia;Pacific Region;"UTS ePRESS";"2019-2024";"Computer Science Applications (Q1); Education (Q1)";"Computer Science; Social Sciences"
436;18027;"IEEE Robotics and Automation Magazine";journal;"10709932";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,996;Q1;109;96;196;2256;820;157;4,01;23,50;20,58;0;18;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1994-2025";"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1)";"Computer Science; Engineering"
437;16875;"IEEE Internet Computing";journal;"10897801";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,995;Q1;122;58;167;894;896;159;5,02;15,41;18,45;0;11;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1997-2025";"Computer Networks and Communications (Q1)";"Computer Science"
438;27959;"Journal of the Franklin Institute";journal;"00160032";"Elsevier Ltd";No;No;0,994;Q1;111;719;1661;28698;7412;1658;4,37;39,91;29,37;0;56;United Kingdom;Western Europe;"Elsevier Ltd";"1826-2025";"Applied Mathematics (Q1); Computer Networks and Communications (Q1); Control and Systems Engineering (Q1); Signal Processing (Q1)";"Computer Science; Engineering; Mathematics"
439;4700152843;"ACM Transactions on Sensor Networks";journal;"15504859";"Association for Computing Machinery (ACM)";No;No;0,993;Q1;77;105;238;5325;1164;231;4,94;50,71;28,98;0;21;United States;Northern America;"Association for Computing Machinery (ACM)";"2005-2025";"Computer Networks and Communications (Q1)";"Computer Science"
440;9700153238;"International Transactions in Operational Research";journal;"09696016, 14753995";"John Wiley and Sons Inc";No;No;0,993;Q1;70;231;437;12009;1905;426;4,07;51,99;33,84;1;54;Denmark;Western Europe;"John Wiley and Sons Inc";"1994-2025";"Business and International Management (Q1); Computer Science Applications (Q1); Management Science and Operations Research (Q1); Strategy and Management (Q1); Management of Technology and Innovation (Q2)";"Business, Management and Accounting; Computer Science; Decision Sciences"
441;145544;"Journal of Semantics";journal;"01675133, 14774593";"Oxford University Press";No;No;0,986;Q2;52;14;65;624;81;65;1,13;44,57;36,36;0;0;United Kingdom;Western Europe;"Oxford University Press";"1982-1986, 1990-2024";"Arts and Humanities (miscellaneous) (Q1); Linguistics and Language (Q1); Artificial Intelligence (Q2)";"Arts and Humanities; Computer Science; Social Sciences"
442;21101064700;"IACR Transactions on Cryptographic Hardware and Embedded Systems";journal;"25692925";"Ruhr-University of Bochum";Yes;Yes;0,985;Q1;48;81;247;3702;1202;247;3,40;45,70;18,03;0;2;Germany;Western Europe;"Ruhr-University of Bochum";"2018-2025";"Computer Graphics and Computer-Aided Design (Q1); Computer Networks and Communications (Q1); Hardware and Architecture (Q1); Signal Processing (Q1); Software (Q1); Artificial Intelligence (Q2)";"Computer Science"
443;25621;"Journal of Parallel and Distributed Computing";journal;"07437315, 10960848";"Academic Press Inc.";No;No;0,978;Q1;111;127;455;6019;2395;446;5,26;47,39;24,43;0;17;United States;Northern America;"Academic Press Inc.";"1984-2025";"Computer Networks and Communications (Q1); Hardware and Architecture (Q1); Software (Q1); Theoretical Computer Science (Q1); Artificial Intelligence (Q2)";"Computer Science; Mathematics"
444;21100820602;"Journal of Computational Design and Engineering";journal;"22885048, 22884300";"Oxford University Press";Yes;No;0,976;Q1;53;106;363;6567;2351;363;6,98;61,95;26,97;0;23;United Kingdom;Western Europe;"Oxford University Press";"2014-2025";"Computational Mathematics (Q1); Computational Mechanics (Q1); Computer Graphics and Computer-Aided Design (Q1); Engineering (miscellaneous) (Q1); Modeling and Simulation (Q1); Human-Computer Interaction (Q2)";"Computer Science; Engineering; Mathematics"
445;19309;"Journal of Systems and Software";journal;"01641212";"Elsevier Inc.";No;No;0,975;Q1;135;242;590;16264;3493;578;5,88;67,21;24,91;4;19;United States;Northern America;"Elsevier Inc.";"1979, 1981, 1983-2025";"Hardware and Architecture (Q1); Information Systems (Q1); Software (Q1)";"Computer Science"
446;21100200804;"ACM Transactions on Management Information Systems";journal;"21586578, 2158656X";"Association for Computing Machinery (ACM)";No;No;0,973;Q1;42;17;116;1052;560;111;4,97;61,88;32,14;0;5;United States;Northern America;"Association for Computing Machinery (ACM)";"2010-2025";"Computer Science (miscellaneous) (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Computer Science"
447;25562;"Proceedings - Symposium on Logic in Computer Science";conference and proceedings;"10436871";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,970;-;72;74;232;3061;412;226;1,74;41,36;13,48;0;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1986-1987, 1990-2011, 2013, 2015-2019, 2021-2024";"Mathematics (miscellaneous); Software";"Computer Science; Mathematics"
448;23087;"Algorithmica";journal;"14320541, 01784617";"Springer New York";No;No;0,969;Q1;84;125;402;4259;609;390;1,22;34,07;17,24;0;1;United States;Northern America;"Springer New York";"1986-2025";"Applied Mathematics (Q1); Computer Science Applications (Q1); Computer Science (miscellaneous) (Q1)";"Computer Science; Mathematics"
449;21101070922;"IEEE Transactions on Biometrics, Behavior, and Identity Science";journal;"26376407";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,969;Q1;30;82;147;3940;931;137;5,33;48,05;28,94;0;6;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2019-2025";"Computer Science Applications (Q1); Computer Vision and Pattern Recognition (Q1); Instrumentation (Q1); Artificial Intelligence (Q2)";"Computer Science; Physics and Astronomy"
450;21101051831;"Intelligent Systems with Applications";journal;"26673053";"Elsevier B.V.";Yes;No;0,969;Q1;28;153;244;8343;1788;243;7,02;54,53;24,89;1;44;Netherlands;Western Europe;"Elsevier B.V.";"2021-2025";"Computer Science Applications (Q1); Computer Science (miscellaneous) (Q1); Computer Vision and Pattern Recognition (Q1); Signal Processing (Q1); Artificial Intelligence (Q2)";"Computer Science"
451;9000153101;"Foundations and Trends in Human-Computer Interaction";journal;"15513963, 15513955";"Now Publishers Inc";No;No;0,968;Q1;31;3;11;996;86;11;6,00;332,00;17,65;0;0;United States;Northern America;"Now Publishers Inc";"2007-2025";"Computer Science Applications (Q1); Human-Computer Interaction (Q2)";"Computer Science"
452;21101127319;"ACS Physical Chemistry Au";journal;"26942445";"American Chemical Society";Yes;No;0,965;Q1;14;76;110;5353;441;104;3,88;70,43;23,44;0;13;United States;Northern America;"American Chemical Society";"2021-2025";"Chemistry (miscellaneous) (Q1); Computational Theory and Mathematics (Q1); Computer Science Applications (Q1); Physical and Theoretical Chemistry (Q1)";"Chemistry; Computer Science"
453;21101147569;"Biomimetic Intelligence and Robotics";journal;"26673797, 20970242";"Elsevier B.V.";Yes;No;0,964;Q1;13;40;64;1600;394;60;6,19;40,00;22,62;0;3;Netherlands;Western Europe;"Elsevier B.V.";"2021-2025";"Computer Science (miscellaneous) (Q1); Control and Systems Engineering (Q1); Artificial Intelligence (Q2)";"Computer Science; Engineering"
454;12189;"Simulation Modelling Practice and Theory";journal;"1569190X";"Elsevier B.V.";No;No;0,963;Q1;90;121;381;5929;2245;373;5,99;49,00;26,11;0;38;Netherlands;Western Europe;"Elsevier B.V.";"2002-2025";"Hardware and Architecture (Q1); Modeling and Simulation (Q1); Software (Q1)";"Computer Science; Mathematics"
455;21101017244;"Drones";journal;"2504446X";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;0,962;Q1;59;785;1282;38375;8081;1276;6,25;48,89;26,62;0;194;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2017-2025";"Aerospace Engineering (Q1); Computer Science Applications (Q1); Control and Systems Engineering (Q1); Information Systems (Q1); Artificial Intelligence (Q2)";"Computer Science; Engineering"
456;23710;"Journal of Medical Systems";journal;"01485598, 1573689X";"Springer New York";No;No;0,962;Q1;120;113;324;4651;1730;303;5,86;41,16;33,21;2;29;United States;Northern America;"Springer New York";"1977-2025";"Information Systems (Q1); Medicine (miscellaneous) (Q1); Health Informatics (Q2); Health Information Management (Q2)";"Computer Science; Health Professions; Medicine"
457;21100301601;"ACM Transactions on Interactive Intelligent Systems";journal;"21606463, 21606455";"Association for Computing Machinery (ACM)";No;No;0,960;Q2;49;29;98;2505;638;93;5,61;86,38;36,55;0;4;United States;Northern America;"Association for Computing Machinery (ACM)";"2011-2024";"Artificial Intelligence (Q2); Human-Computer Interaction (Q2)";"Computer Science"
458;21100853527;"Brain Informatics";journal;"21984018, 21984026";"Springer Berlin";Yes;No;0,959;Q1;36;33;90;1852;528;90;6,32;56,12;32,79;0;1;Germany;Western Europe;"Springer Berlin";"2014-2025";"Computer Science Applications (Q1); Cognitive Neuroscience (Q2); Neurology (Q2)";"Computer Science; Neuroscience"
459;25548;"Signal Processing";journal;"01651684";"Elsevier B.V.";No;No;0,958;Q1;170;323;1123;14709;5250;1122;4,40;45,54;27,58;0;9;Netherlands;Western Europe;"Elsevier B.V.";"1979-2025";"Computer Vision and Pattern Recognition (Q1); Electrical and Electronic Engineering (Q1); Signal Processing (Q1); Software (Q1); Control and Systems Engineering (Q2)";"Computer Science; Engineering"
460;21101169875;"Journal of Responsible Technology";journal;"26666596";"Elsevier Ltd";Yes;No;0,956;Q1;13;24;58;1468;378;55;6,94;61,17;47,22;0;6;United Kingdom;Western Europe;"Elsevier Ltd";"2020-2025";"Computer Science (miscellaneous) (Q1); Human-Computer Interaction (Q2)";"Computer Science"
461;21463;"International Journal of Health Geographics";journal;"1476072X";"BioMed Central Ltd";Yes;No;0,953;Q1;94;27;104;1757;390;101;3,29;65,07;45,16;0;20;United Kingdom;Western Europe;"BioMed Central Ltd";"2002-2024";"Business, Management and Accounting (miscellaneous) (Q1); Computer Science (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1)";"Business, Management and Accounting; Computer Science; Medicine"
462;22545;"Diqiu Kexue - Zhongguo Dizhi Daxue Xuebao/Earth Science - Journal of China University of Geosciences";journal;"10002383";"China University of Geosciences";No;No;0,952;Q1;57;301;987;14905;2519;986;2,58;49,52;32,73;0;77;China;Asiatic Region;"China University of Geosciences";"1981, 2001-2025";"Building and Construction (Q1); Computer Science Applications (Q1); Earth and Planetary Sciences (miscellaneous) (Q1)";"Computer Science; Earth and Planetary Sciences; Engineering"
463;6300153121;"Journal of Theoretical and Applied Electronic Commerce Research";journal;"07181876";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;Yes;0,952;Q1;54;176;387;13231;2995;380;6,73;75,18;45,02;0;36;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2006-2024";"Business, Management and Accounting (miscellaneous) (Q1); Computer Science Applications (Q1)";"Business, Management and Accounting; Computer Science"
464;28468;"Computers and Mathematics with Applications";journal;"08981221";"Elsevier Ltd";No;No;0,951;Q1;159;457;1140;19080;3488;1133;2,74;41,75;27,66;0;16;United Kingdom;Western Europe;"Elsevier Ltd";"1975-2025";"Computational Mathematics (Q1); Computational Theory and Mathematics (Q1); Modeling and Simulation (Q1)";"Computer Science; Mathematics"
465;20979;"Journal of Mechanical Design";journal;"10500472";"American Society of Mechanical Engineers (ASME)";No;No;0,950;Q1;146;134;505;6783;2107;490;3,94;50,62;22,41;0;40;United States;Northern America;"American Society of Mechanical Engineers (ASME)";"1978-2025";"Computer Graphics and Computer-Aided Design (Q1); Computer Science Applications (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)";"Computer Science; Engineering"
